experiment,PassiveBefore,PassiveAfter,ActiveBefore,ActiveAfter
2W800C15B,1366,161,40,13
2W800C1B,814,161,1,1
2W800C20B,1626,161,50,15
2W800C25B,1932,161,135,17
2W800C2B,1090,161,12,2
2W800C5B,1047,161,12,5
2W900C10B,1375,181,17,9
2W900C15B,1286,181,44,11
2W900C1B,936,181,1,1
2W900C20B,1526,181,113,14
2W900C25B,1867,181,126,17
2W900C2B,966,181,5,2
2W900C5B,1203,181,15,4
3W1000C10B,1182,201,69,6
3W1000C15B,1291,201,283,7
3W1000C1B,1003,201,1,1
3W1000C20B,1257,201,110,7
3W1000C25B,1313,201,441,6
3W1000C2B,1058,201,2,2
3W1000C5B,1248,201,6,5
3W100C10B,849,50,14,10
3W100C15B,1146,21,25,15
3W100C1B,214,97,1,1
3W100C20B,1685,22,30,19
3W100C25B,2197,21,50,22
3W100C2B,479,52,5,1
3W100C5B,704,49,12,4
3W1100C10B,1272,221,47,10
3W1100C15B,1610,221,155,8
3W1100C1B,1118,221,2,1
3W1100C20B,1691,221,343,4
3W1100C25B,1863,221,420,10
3W1100C2B,1182,221,2,2
3W1100C5B,1251,221,12,5
3W1200C10B,1274,241,163,4
3W1200C15B,1309,241,98,7
3W1200C1B,1207,241,2,1
3W1200C20B,1549,241,94,12
3W1200C25B,1593,241,153,4
3W1200C2B,1245,241,3,2
3W1200C5B,1213,241,42,5
3W1300C10B,2125,261,43,4
3W1300C15B,2433,262,172,3
3W1300C1B,1302,261,1,1
3W1300C20B,2250,265,146,9
3W1300C25B,3156,261,243,6
3W1300C2B,1309,261,2,2
3W1300C5B,1549,261,8,4
3W200C10B,1270,43,12,10
3W200C15B,1904,43,21,14
3W200C1B,346,100,1,1
3W200C20B,2239,41,33,18
3W200C25B,3239,21,48,22
3W200C2B,437,99,2,2
3W200C5B,826,67,6,5
3W300C10B,1352,104,14,10
3W300C15B,1922,102,21,15
3W300C1B,483,100,1,1
3W300C20B,2453,62,36,18
3W300C25B,3096,66,73,18
3W300C2B,529,101,2,2
3W300C5B,916,101,9,5
3W400C10B,1299,134,14,9
3W400C15B,1926,135,22,14
3W400C1B,632,134,1,1
3W400C20B,2977,82,44,18
3W400C25B,3024,82,44,24
3W400C2B,705,134,4,2
3W400C5B,867,135,8,5
3W500C10B,1505,167,22,9
3W500C15B,1966,167,41,9
3W500C1B,605,167,1,1
3W500C20B,3101,169,59,15
3W500C25B,3124,101,68,20
3W500C2B,685,167,2,2
3W500C5B,938,167,10,4
3W600C10B,1422,121,20,8
3W600C15B,1980,121,23,13
3W600C1B,657,121,1,1
3W600C20B,2600,123,49,18
3W600C25B,3884,121,102,20
3W600C2B,759,121,4,2
3W600C5B,1196,201,14,5
3W700C10B,1409,141,32,7
3W700C15B,2437,141,58,7
3W700C1B,796,141,1,1
3W700C20B,2688,141,71,20
3W700C25B,3624,141,130,17
3W700C2B,931,141,3,2
3W700C5B,1182,141,19,1
3W800C10B,1346,161,16,10
3W800C15B,1928,161,46,13
3W800C1B,824,161,1,1
3W800C20B,2292,161,91,12
3W800C25B,2837,161,180,20
3W800C2B,894,161,2,2
3W800C5B,1022,161,5,5
3W900C10B,1125,180,40,4
3W900C15B,1250,180,15,15
3W900C1B,926,180,1,1
3W900C20B,1396,180,86,12
3W900C25B,1568,180,139,11
3W900C2B,931,180,2,2
3W900C5B,990,180,5,5
