shows the number of passive trajectories after some filter
experiment, True, Tracked, OneGroup, FramesThreshold, Remains
2W600C5B, 600, 990, 900, 200, 594
2W700C10B, 700, 1344, 1148, 200, 699
2W700C15B, 700, 1639, 1409, 200, 697
2W700C1B, 700, 746, 734, 100, 734
2W700C20B, 700, 1969, 1561, 200, 698
2W700C25B, 700, 2356, 1787, 200, 697
2W700C2B, 700, 791, 780, 200, 699
2W700C5B, 700, 918, 881, 200, 699
2W800C10B, 800, 1220, 1093, 200, 800
2W800C15B, 800, 1366, 1177, 200, 799
2W800C1B, 800, 814, 811, 100, 811
2W800C20B, 800, 1626, 1318, 200, 799
2W800C25B, 800, 1932, 1525, 200, 799
2W800C2B, 800, 1090, 988, 200, 800
2W800C5B, 800, 1047, 972, 200, 800
2W900C10B, 900, 1375, 1209, 200, 900
2W900C15B, 900, 1286, 1156, 200, 900
2W900C1B, 900, 936, 924, 100, 924
2W900C20B, 900, 1526, 1242, 200, 900
2W900C25B, 900, 1867, 1525, 200, 900
2W900C2B, 900, 966, 952, 100, 952
2W900C5B, 900, 1203, 1091, 200, 900
3W1000C10B, 1000, 1182, 1123, 200, 1000
3W1000C15B, 1000, 1291, 1179, 200, 1000
3W1000C1B, 1000, 1003, 1001, 100, 1001
3W1000C20B, 1000, 1257, 1143, 200, 999
3W1000C25B, 1000, 1313, 1222, 200, 998
3W1000C2B, 1000, 1058, 1046, 100, 1046
3W1000C5B, 1000, 1248, 1134, 200, 1000
3W100C10B, 100, 849, 632, 200, 77
3W100C15B, 100, 1146, 862, 200, 78
3W100C1B, 100, 214, 155, 100, 155
3W100C20B, 100, 1685, 1270, 200, 73
3W100C25B, 100, 2197, 1724, 200, 77
3W100C2B, 100, 479, 347, 200, 85
3W100C5B, 100, 704, 515, 200, 81
3W1100C10B, 1100, 1272, 1224, 200, 1100
3W1100C15B, 1100, 1610, 1395, 200, 1099
3W1100C1B, 1100, 1118, 1107, 100, 1107
3W1100C20B, 1100, 1691, 1427, 200, 1099
3W1100C25B, 1100, 1863, 1462, 200, 1099
3W1100C2B, 1100, 1182, 1145, 100, 1145
3W1100C5B, 1100, 1251, 1201, 200, 1101
3W1200C10B, 1200, 1274, 1250, 100, 1250
3W1200C15B, 1200, 1309, 1292, 200, 1201
3W1200C1B, 1200, 1207, 1205, 100, 1205
3W1200C20B, 1200, 1549, 1433, 200, 1201
3W1200C25B, 1200, 1593, 1444, 200, 1201
3W1200C2B, 1200, 1245, 1227, 100, 1227
3W1200C5B, 1200, 1213, 1211, 100, 1211
3W1300C10B, 1300, 2125, 1709, 200, 1301
3W1300C15B, 1300, 2433, 1831, 200, 1301
3W1300C1B, 1300, 1302, 1301, 100, 1301
3W1300C20B, 1300, 2250, 1787, 200, 1300
3W1300C25B, 1300, 3156, 2248, 200, 1297
3W1300C2B, 1300, 1309, 1307, 100, 1307
3W1300C5B, 1300, 1549, 1442, 200, 1298
3W200C10B, 200, 1270, 965, 200, 162
3W200C15B, 200, 1904, 1406, 200, 158
3W200C1B, 200, 346, 240, 100, 240
3W200C20B, 200, 2239, 1732, 200, 162
3W200C25B, 200, 3239, 2442, 200, 158
3W200C2B, 200, 437, 352, 200, 174
3W200C5B, 200, 826, 656, 200, 168
3W300C10B, 300, 1352, 1136, 200, 269
3W300C15B, 300, 1922, 1612, 200, 266
3W300C1B, 300, 483, 383, 200, 274
3W300C20B, 300, 2453, 1946, 200, 265
3W300C25B, 300, 3096, 2392, 200, 256
3W300C2B, 300, 529, 444, 200, 276
3W300C5B, 300, 916, 806, 200, 273
3W400C10B, 400, 1299, 1145, 200, 387
3W400C15B, 400, 1926, 1588, 200, 377
3W400C1B, 400, 632, 523, 200, 391
3W400C20B, 400, 2977, 2241, 200, 375
3W400C25B, 400, 3024, 2316, 200, 372
3W400C2B, 400, 705, 587, 200, 389
3W400C5B, 400, 867, 771, 200, 386
3W500C10B, 500, 1505, 1290, 200, 487
3W500C15B, 500, 1966, 1611, 200, 490
3W500C1B, 500, 605, 581, 200, 494
3W500C20B, 500, 3101, 2400, 200, 486
3W500C25B, 500, 3124, 2358, 200, 488
3W500C2B, 500, 685, 639, 200, 493
3W500C5B, 500, 938, 838, 200, 491
3W600C10B, 600, 1422, 1181, 200, 596
3W600C15B, 600, 1980, 1599, 200, 593
3W600C1B, 600, 657, 642, 100, 642
3W600C20B, 600, 2600, 1937, 200, 592
3W600C25B, 600, 3884, 2683, 200, 588
3W600C2B, 600, 759, 728, 200, 597
3W600C5B, 600, 1196, 1037, 200, 593
3W700C10B, 700, 1409, 1144, 200, 700
3W700C15B, 700, 2437, 1826, 200, 696
3W700C1B, 700, 796, 768, 200, 699
3W700C20B, 700, 2688, 1915, 200, 697
3W700C25B, 700, 3624, 2531, 200, 698
3W700C2B, 700, 931, 879, 200, 699
3W700C5B, 700, 1182, 1033, 200, 699
3W800C10B, 800, 1346, 1185, 200, 800
3W800C15B, 800, 1928, 1522, 200, 799
3W800C1B, 800, 824, 818, 100, 818
3W800C20B, 800, 2292, 1684, 200, 799
3W800C25B, 800, 2837, 2072, 200, 800
3W800C2B, 800, 894, 873, 200, 800
3W800C5B, 800, 1022, 966, 200, 800
3W900C10B, 900, 1125, 1042, 200, 898
3W900C15B, 900, 1250, 1116, 200, 898
3W900C1B, 900, 926, 920, 100, 920
3W900C20B, 900, 1396, 1237, 200, 898
3W900C25B, 900, 1568, 1282, 200, 898
3W900C2B, 900, 931, 925, 100, 925
3W900C5B, 900, 990, 957, 100, 957
